trip_id,arrival_time,departure_time,stop_id,stop_sequence
M1_SB_0600,06:00:00,06:00:00,M_HASTANE,1
M1_SB_0600,06:02:09,06:02:29,M_ANADOLULISESI,2
M1_SB_0600,06:03:41,06:04:01,M_HUZUREVI,3
M1_SB_0600,06:04:57,06:05:17,M_MAVIBULVAR,4
M1_SB_0600,06:06:58,06:07:18,M_YURT,5
M1_SB_0600,06:08:34,06:08:54,M_YESILYURT,6
M1_SB_0600,06:10:10,06:10:30,M_FATIH,7
M1_SB_0600,06:12:27,06:12:47,M_VILAYET,8
M1_SB_0600,06:14:22,06:14:42,M_ISTIKLAL,9
M1_SB_0600,06:15:55,06:16:15,M_KOCAVEZIR,10
M1_SB_0600,06:17:25,06:17:45,M_HURRIYET,11
M1_SB_0600,06:19:13,06:19:33,M_CUMHURIYET,12
M1_SB_0600,06:21:00,06:21:00,M_AKINCILAR,13
M1_NB_0600,06:00:00,06:00:00,M_AKINCILAR,1
M1_NB_0600,06:01:47,06:02:07,M_CUMHURIYET,2
M1_NB_0600,06:03:35,06:03:55,M_HURRIYET,3
M1_NB_0600,06:05:05,06:05:25,M_KOCAVEZIR,4
M1_NB_0600,06:06:38,06:06:58,M_ISTIKLAL,5
M1_NB_0600,06:08:33,06:08:53,M_VILAYET,6
M1_NB_0600,06:10:50,06:11:10,M_FATIH,7
M1_NB_0600,06:12:26,06:12:46,M_YESILYURT,8
M1_NB_0600,06:14:02,06:14:22,M_YURT,9
M1_NB_0600,06:16:03,06:16:23,M_MAVIBULVAR,10
M1_NB_0600,06:17:19,06:17:39,M_HUZUREVI,11
M1_NB_0600,06:18:51,06:19:11,M_ANADOLULISESI,12
M1_NB_0600,06:21:00,06:21:00,M_HASTANE,13
