route_id,service_id,trip_id,trip_headsign
M1,daily,M1_0_000,Batıkent
M1,daily,M1_0_015,Batıkent
M1,daily,M1_0_045,Batıkent
M1,daily,M1_0_080,Batıkent
M1,daily,M1_0_110,Batıkent
M1,daily,M1_0_128,Batıkent
M1,daily,M1_1_000,Kızılay
M1,daily,M1_1_015,Kızılay
M1,daily,M1_1_045,Kızılay
M1,daily,M1_1_080,Kızılay
M1,daily,M1_1_110,Kızılay
M1,daily,M1_1_128,Kızılay
M2,daily,M2_0_000,15 Tem. Kızılay
M2,daily,M2_0_015,15 Tem. Kızılay
M2,daily,M2_0_045,15 Tem. Kızılay
M2,daily,M2_0_080,15 Tem. Kızılay
M2,daily,M2_0_110,15 Tem. Kızılay
M2,daily,M2_0_128,15 Tem. Kızılay
M2,daily,M2_1_000,Koru
M2,daily,M2_1_015,Koru
M2,daily,M2_1_045,Koru
M2,daily,M2_1_080,Koru
M2,daily,M2_1_110,Koru
M2,daily,M2_1_128,Koru
M3,daily,M3_0_000,OSB-Törekent
M3,daily,M3_0_015,OSB-Törekent
M3,daily,M3_0_045,OSB-Törekent
M3,daily,M3_0_080,OSB-Törekent
M3,daily,M3_0_110,OSB-Törekent
M3,daily,M3_0_128,OSB-Törekent
M3,daily,M3_1_000,Batıkent
M3,daily,M3_1_015,Batıkent
M3,daily,M3_1_045,Batıkent
M3,daily,M3_1_080,Batıkent
M3,daily,M3_1_110,Batıkent
M3,daily,M3_1_128,Batıkent
M4,daily,M4_0_000,Şehitler
M4,daily,M4_0_015,Şehitler
M4,daily,M4_0_045,Şehitler
M4,daily,M4_0_080,Şehitler
M4,daily,M4_0_110,Şehitler
M4,daily,M4_0_128,Şehitler
M4,daily,M4_1_000,Kızılay
M4,daily,M4_1_015,Kızılay
M4,daily,M4_1_045,Kızılay
M4,daily,M4_1_080,Kızılay
M4,daily,M4_1_110,Kızılay
M4,daily,M4_1_128,Kızılay
A1,daily,A1_0_000,Dikimevi
A1,daily,A1_0_015,Dikimevi
A1,daily,A1_0_045,Dikimevi
A1,daily,A1_0_080,Dikimevi
A1,daily,A1_0_110,Dikimevi
A1,daily,A1_0_128,Dikimevi
A1,daily,A1_1_000,AŞTİ
A1,daily,A1_1_015,AŞTİ
A1,daily,A1_1_045,AŞTİ
A1,daily,A1_1_080,AŞTİ
A1,daily,A1_1_110,AŞTİ
A1,daily,A1_1_128,AŞTİ
