trip_id,arrival_time,departure_time,stop_id,stop_sequence
T1_loop_0700,07:00:00,07:00:00,T1_Kent_Meydan,1
T1_loop_0700,07:01:04,07:01:04,T1_Osmangazi,2
T1_loop_0700,07:02:08,07:02:08,T1_Uluyol,3
T1_loop_0700,07:03:12,07:03:12,T1_Adliye,4
T1_loop_0700,07:04:16,07:04:16,T1_SGK,5
T1_loop_0700,07:05:20,07:05:20,T1_Gazclar,6
T1_loop_0700,07:06:24,07:06:24,T1_Demirtapaa,7
T1_loop_0700,07:07:28,07:07:28,T1_Kayhan,8
T1_loop_0700,07:08:32,07:08:32,T1_Heykel,9
T1_loop_0700,07:09:36,07:09:36,T1_Ulucami,10
T1_loop_0700,07:10:40,07:10:40,T1_Timurtapaa,11
T1_loop_0700,07:11:44,07:11:44,T1_atalfrn,12
T1_loop_0700,07:12:48,07:12:48,T1_Altparmak,13
T1_loop_0700,07:13:52,07:13:52,T1_Kltrpark_Millet_Bahesi,14
T1_loop_0700,07:14:56,07:14:56,T1_Darmstad,15
T1_loop_0700,07:16:00,07:16:00,T1_aramba_Merinos,16
T2_out_0700,07:00:00,07:00:00,T2_Kent_Meydan,1
T2_out_0700,07:02:12,07:02:12,T2_Gen_Osman,2
T2_out_0700,07:04:24,07:04:24,T2_Beyol,3
T2_out_0700,07:06:36,07:06:36,T2_Fatih_Altnova,4
T2_out_0700,07:08:48,07:08:48,T2_Blge_Adliye_Mftlk,5
T2_out_0700,07:11:00,07:11:00,T2_Otokop_Orman_Blge,6
T2_out_0700,07:13:12,07:13:12,T2_BUTTM,7
T2_out_0700,07:15:24,07:15:24,T2_Panayr,8
T2_out_0700,07:17:36,07:17:36,T2_Yeniceabat,9
T2_out_0700,07:19:48,07:19:48,T2_Meslek_Yksek_Okulu,10
T2_out_0700,07:22:00,07:22:00,T2_Terminal,11
T2_in_0700,07:00:00,07:00:00,T2_Terminal,1
T2_in_0700,07:02:12,07:02:12,T2_Meslek_Yksek_Okulu,2
T2_in_0700,07:04:24,07:04:24,T2_Yeniceabat,3
T2_in_0700,07:06:36,07:06:36,T2_Panayr,4
T2_in_0700,07:08:48,07:08:48,T2_BUTTM,5
T2_in_0700,07:11:00,07:11:00,T2_Otokop_Orman_Blge,6
T2_in_0700,07:13:12,07:13:12,T2_Blge_Adliye_Mftlk,7
T2_in_0700,07:15:24,07:15:24,T2_Fatih_Altnova,8
T2_in_0700,07:17:36,07:17:36,T2_Beyol,9
T2_in_0700,07:19:48,07:19:48,T2_Gen_Osman,10
T2_in_0700,07:22:00,07:22:00,T2_Kent_Meydan,11
T3_out_0700,07:00:00,07:00:00,T3_Zafer_Plaza,1
T3_out_0700,07:01:15,07:01:15,T3_Kozahan,2
T3_out_0700,07:02:30,07:02:30,T3_Tuzpazar,3
T3_out_0700,07:03:45,07:03:45,T3_anclar,4
T3_out_0700,07:05:00,07:05:00,T3_Gkdere_Panorama,5
T3_out_0700,07:06:15,07:06:15,T3_Meydanck,6
T3_out_0700,07:07:30,07:07:30,T3_ncirli_Hamam,7
T3_out_0700,07:08:45,07:08:45,T3_Emir_Sultan_Mezarl_Hacseyfettin,8
T3_out_0700,07:10:00,07:10:00,T3_narn,9
T3_in_0700,07:00:00,07:00:00,T3_narn,1
T3_in_0700,07:01:15,07:01:15,T3_Emir_Sultan_Mezarl_Hacseyfettin,2
T3_in_0700,07:02:30,07:02:30,T3_ncirli_Hamam,3
T3_in_0700,07:03:45,07:03:45,T3_Meydanck,4
T3_in_0700,07:05:00,07:05:00,T3_Gkdere_Panorama,5
T3_in_0700,07:06:15,07:06:15,T3_anclar,6
T3_in_0700,07:07:30,07:07:30,T3_Tuzpazar,7
T3_in_0700,07:08:45,07:08:45,T3_Kozahan,8
T3_in_0700,07:10:00,07:10:00,T3_Zafer_Plaza,9
