stop_id,stop_name,stop_lat,stop_lon
KIMARA,Kimara Terminal,-6.8038,39.1663
KOROGWE,Korogwe,-6.8046,39.1735
BUCHA,Bucha,-6.8055,39.1805
BARUTI,Baruti,-6.8063,39.1875
KONA,Kona,-6.8072,39.1945
KIBO,Kibo,-6.8085,39.2015
UBUNGO_MAJI,Ubungo Maji,-6.81,39.2085
UBUNGO,Ubungo Terminal,-6.8117,39.2214
SHEKILANGO,Shekilango,-6.809,39.228
URAFIKI,Urafiki,-6.806,39.2325
MANZESE_TIPTOP,Manzese Tip Top,-6.803,39.236
MANZESE,Manzese,-6.8,39.2395
MANZESE_ARG,Manzese Argentina,-6.7975,39.2425
KINONDONI_B,Kinondoni B,-6.7955,39.2455
KAGERA,Kagera,-6.7965,39.2495
MWANAMBOKA,Mwanamboka,-6.7985,39.253
MWEMBECHAI,Mwembe Chai,-6.801,39.256
MKWAJUNI,Mkwajuni,-6.8035,39.2585
USALAMA,Usalama,-6.806,39.261
KANISANI,Kanisani,-6.8085,39.2635
MAGOMENI_HOSP,Magomeni Hospital,-6.8105,39.266
MAGOMENI_MAPIPA,Magomeni Mapipa,-6.812,39.2685
JANGWANI,Jangwani,-6.815,39.27
MUHIMBILI,Muhimbili Hospital,-6.8175,39.272
FIRE,Fire,-6.818,39.2755
KARIAKOO_A,Kariakoo Msimbazi A,-6.8185,39.2775
KARIAKOO_B,Kariakoo Msimbazi B,-6.819,39.28
DIT,DIT,-6.8175,39.2865
KIVUKONI,Kivukoni Terminal,-6.8203,39.2965
GEREZANI,Gerezani Terminal,-6.8205,39.283
MOROCCO,Morocco Terminal,-6.789,39.263
