trip_id,arrival_time,departure_time,stop_id,stop_sequence
trip_chilonzor_d0_first,05:00:00,05:00:00,stop_buyuk_ipak_yoli,1
trip_chilonzor_d0_first,05:02:00,05:02:00,stop_pushkin,2
trip_chilonzor_d0_first,05:04:00,05:04:00,stop_hamid_olimjon,3
trip_chilonzor_d0_first,05:06:00,05:06:00,stop_amir_temur_xiyoboni,4
trip_chilonzor_d0_first,05:08:00,05:08:00,stop_mustaqillik_maydoni,5
trip_chilonzor_d0_first,05:10:00,05:10:00,stop_paxtakor,6
trip_chilonzor_d0_first,05:12:00,05:12:00,stop_xalqlar_dostligi,7
trip_chilonzor_d0_first,05:14:00,05:14:00,stop_milliy_bog,8
trip_chilonzor_d0_first,05:16:00,05:16:00,stop_novza,9
trip_chilonzor_d0_first,05:18:00,05:18:00,stop_mirzo_ulugbek,10
trip_chilonzor_d0_first,05:20:00,05:20:00,stop_chilonzor,11
trip_chilonzor_d0_first,05:22:00,05:22:00,stop_olmazor,12
trip_chilonzor_d0_first,05:24:00,05:24:00,stop_choshtepa,13
trip_chilonzor_d0_first,05:26:00,05:26:00,stop_ozgarish,14
trip_chilonzor_d0_first,05:28:00,05:28:00,stop_sirgali,15
trip_chilonzor_d0_first,05:30:00,05:30:00,stop_yangihayot,16
trip_chilonzor_d0_first,05:32:00,05:32:00,stop_chinor,17
trip_chilonzor_d0_mid,12:00:00,12:00:00,stop_buyuk_ipak_yoli,1
trip_chilonzor_d0_mid,12:02:00,12:02:00,stop_pushkin,2
trip_chilonzor_d0_mid,12:04:00,12:04:00,stop_hamid_olimjon,3
trip_chilonzor_d0_mid,12:06:00,12:06:00,stop_amir_temur_xiyoboni,4
trip_chilonzor_d0_mid,12:08:00,12:08:00,stop_mustaqillik_maydoni,5
trip_chilonzor_d0_mid,12:10:00,12:10:00,stop_paxtakor,6
trip_chilonzor_d0_mid,12:12:00,12:12:00,stop_xalqlar_dostligi,7
trip_chilonzor_d0_mid,12:14:00,12:14:00,stop_milliy_bog,8
trip_chilonzor_d0_mid,12:16:00,12:16:00,stop_novza,9
trip_chilonzor_d0_mid,12:18:00,12:18:00,stop_mirzo_ulugbek,10
trip_chilonzor_d0_mid,12:20:00,12:20:00,stop_chilonzor,11
trip_chilonzor_d0_mid,12:22:00,12:22:00,stop_olmazor,12
trip_chilonzor_d0_mid,12:24:00,12:24:00,stop_choshtepa,13
trip_chilonzor_d0_mid,12:26:00,12:26:00,stop_ozgarish,14
trip_chilonzor_d0_mid,12:28:00,12:28:00,stop_sirgali,15
trip_chilonzor_d0_mid,12:30:00,12:30:00,stop_yangihayot,16
trip_chilonzor_d0_mid,12:32:00,12:32:00,stop_chinor,17
trip_chilonzor_d0_last,23:30:00,23:30:00,stop_buyuk_ipak_yoli,1
trip_chilonzor_d0_last,23:32:00,23:32:00,stop_pushkin,2
trip_chilonzor_d0_last,23:34:00,23:34:00,stop_hamid_olimjon,3
trip_chilonzor_d0_last,23:36:00,23:36:00,stop_amir_temur_xiyoboni,4
trip_chilonzor_d0_last,23:38:00,23:38:00,stop_mustaqillik_maydoni,5
trip_chilonzor_d0_last,23:40:00,23:40:00,stop_paxtakor,6
trip_chilonzor_d0_last,23:42:00,23:42:00,stop_xalqlar_dostligi,7
trip_chilonzor_d0_last,23:44:00,23:44:00,stop_milliy_bog,8
trip_chilonzor_d0_last,23:46:00,23:46:00,stop_novza,9
trip_chilonzor_d0_last,23:48:00,23:48:00,stop_mirzo_ulugbek,10
trip_chilonzor_d0_last,23:50:00,23:50:00,stop_chilonzor,11
trip_chilonzor_d0_last,23:52:00,23:52:00,stop_olmazor,12
trip_chilonzor_d0_last,23:54:00,23:54:00,stop_choshtepa,13
trip_chilonzor_d0_last,23:56:00,23:56:00,stop_ozgarish,14
trip_chilonzor_d0_last,23:58:00,23:58:00,stop_sirgali,15
trip_chilonzor_d0_last,24:00:00,24:00:00,stop_yangihayot,16
trip_chilonzor_d0_last,24:02:00,24:02:00,stop_chinor,17
trip_chilonzor_d1_first,05:00:00,05:00:00,stop_chinor,1
trip_chilonzor_d1_first,05:02:00,05:02:00,stop_yangihayot,2
trip_chilonzor_d1_first,05:04:00,05:04:00,stop_sirgali,3
trip_chilonzor_d1_first,05:06:00,05:06:00,stop_ozgarish,4
trip_chilonzor_d1_first,05:08:00,05:08:00,stop_choshtepa,5
trip_chilonzor_d1_first,05:10:00,05:10:00,stop_olmazor,6
trip_chilonzor_d1_first,05:12:00,05:12:00,stop_chilonzor,7
trip_chilonzor_d1_first,05:14:00,05:14:00,stop_mirzo_ulugbek,8
trip_chilonzor_d1_first,05:16:00,05:16:00,stop_novza,9
trip_chilonzor_d1_first,05:18:00,05:18:00,stop_milliy_bog,10
trip_chilonzor_d1_first,05:20:00,05:20:00,stop_xalqlar_dostligi,11
trip_chilonzor_d1_first,05:22:00,05:22:00,stop_paxtakor,12
trip_chilonzor_d1_first,05:24:00,05:24:00,stop_mustaqillik_maydoni,13
trip_chilonzor_d1_first,05:26:00,05:26:00,stop_amir_temur_xiyoboni,14
trip_chilonzor_d1_first,05:28:00,05:28:00,stop_hamid_olimjon,15
trip_chilonzor_d1_first,05:30:00,05:30:00,stop_pushkin,16
trip_chilonzor_d1_first,05:32:00,05:32:00,stop_buyuk_ipak_yoli,17
trip_chilonzor_d1_mid,12:00:00,12:00:00,stop_chinor,1
trip_chilonzor_d1_mid,12:02:00,12:02:00,stop_yangihayot,2
trip_chilonzor_d1_mid,12:04:00,12:04:00,stop_sirgali,3
trip_chilonzor_d1_mid,12:06:00,12:06:00,stop_ozgarish,4
trip_chilonzor_d1_mid,12:08:00,12:08:00,stop_choshtepa,5
trip_chilonzor_d1_mid,12:10:00,12:10:00,stop_olmazor,6
trip_chilonzor_d1_mid,12:12:00,12:12:00,stop_chilonzor,7
trip_chilonzor_d1_mid,12:14:00,12:14:00,stop_mirzo_ulugbek,8
trip_chilonzor_d1_mid,12:16:00,12:16:00,stop_novza,9
trip_chilonzor_d1_mid,12:18:00,12:18:00,stop_milliy_bog,10
trip_chilonzor_d1_mid,12:20:00,12:20:00,stop_xalqlar_dostligi,11
trip_chilonzor_d1_mid,12:22:00,12:22:00,stop_paxtakor,12
trip_chilonzor_d1_mid,12:24:00,12:24:00,stop_mustaqillik_maydoni,13
trip_chilonzor_d1_mid,12:26:00,12:26:00,stop_amir_temur_xiyoboni,14
trip_chilonzor_d1_mid,12:28:00,12:28:00,stop_hamid_olimjon,15
trip_chilonzor_d1_mid,12:30:00,12:30:00,stop_pushkin,16
trip_chilonzor_d1_mid,12:32:00,12:32:00,stop_buyuk_ipak_yoli,17
trip_chilonzor_d1_last,23:30:00,23:30:00,stop_chinor,1
trip_chilonzor_d1_last,23:32:00,23:32:00,stop_yangihayot,2
trip_chilonzor_d1_last,23:34:00,23:34:00,stop_sirgali,3
trip_chilonzor_d1_last,23:36:00,23:36:00,stop_ozgarish,4
trip_chilonzor_d1_last,23:38:00,23:38:00,stop_choshtepa,5
trip_chilonzor_d1_last,23:40:00,23:40:00,stop_olmazor,6
trip_chilonzor_d1_last,23:42:00,23:42:00,stop_chilonzor,7
trip_chilonzor_d1_last,23:44:00,23:44:00,stop_mirzo_ulugbek,8
trip_chilonzor_d1_last,23:46:00,23:46:00,stop_novza,9
trip_chilonzor_d1_last,23:48:00,23:48:00,stop_milliy_bog,10
trip_chilonzor_d1_last,23:50:00,23:50:00,stop_xalqlar_dostligi,11
trip_chilonzor_d1_last,23:52:00,23:52:00,stop_paxtakor,12
trip_chilonzor_d1_last,23:54:00,23:54:00,stop_mustaqillik_maydoni,13
trip_chilonzor_d1_last,23:56:00,23:56:00,stop_amir_temur_xiyoboni,14
trip_chilonzor_d1_last,23:58:00,23:58:00,stop_hamid_olimjon,15
trip_chilonzor_d1_last,24:00:00,24:00:00,stop_pushkin,16
trip_chilonzor_d1_last,24:02:00,24:02:00,stop_buyuk_ipak_yoli,17
trip_ozbekiston_d0_first,05:00:00,05:00:00,stop_beruniy,1
trip_ozbekiston_d0_first,05:02:00,05:02:00,stop_tinchlik,2
trip_ozbekiston_d0_first,05:04:00,05:04:00,stop_chorsu,3
trip_ozbekiston_d0_first,05:06:00,05:06:00,stop_g_afur_g_ulom,4
trip_ozbekiston_d0_first,05:08:00,05:08:00,stop_alisher_navoiy,5
trip_ozbekiston_d0_first,05:10:00,05:10:00,stop_ozbekiston,6
trip_ozbekiston_d0_first,05:12:00,05:12:00,stop_kosmonavtlar,7
trip_ozbekiston_d0_first,05:14:00,05:14:00,stop_oybek,8
trip_ozbekiston_d0_first,05:16:00,05:16:00,stop_toshkent,9
trip_ozbekiston_d0_first,05:18:00,05:18:00,stop_mashinasozlar,10
trip_ozbekiston_d0_first,05:20:00,05:20:00,stop_do_stlik,11
trip_ozbekiston_d0_mid,12:00:00,12:00:00,stop_beruniy,1
trip_ozbekiston_d0_mid,12:02:00,12:02:00,stop_tinchlik,2
trip_ozbekiston_d0_mid,12:04:00,12:04:00,stop_chorsu,3
trip_ozbekiston_d0_mid,12:06:00,12:06:00,stop_g_afur_g_ulom,4
trip_ozbekiston_d0_mid,12:08:00,12:08:00,stop_alisher_navoiy,5
trip_ozbekiston_d0_mid,12:10:00,12:10:00,stop_ozbekiston,6
trip_ozbekiston_d0_mid,12:12:00,12:12:00,stop_kosmonavtlar,7
trip_ozbekiston_d0_mid,12:14:00,12:14:00,stop_oybek,8
trip_ozbekiston_d0_mid,12:16:00,12:16:00,stop_toshkent,9
trip_ozbekiston_d0_mid,12:18:00,12:18:00,stop_mashinasozlar,10
trip_ozbekiston_d0_mid,12:20:00,12:20:00,stop_do_stlik,11
trip_ozbekiston_d0_last,23:30:00,23:30:00,stop_beruniy,1
trip_ozbekiston_d0_last,23:32:00,23:32:00,stop_tinchlik,2
trip_ozbekiston_d0_last,23:34:00,23:34:00,stop_chorsu,3
trip_ozbekiston_d0_last,23:36:00,23:36:00,stop_g_afur_g_ulom,4
trip_ozbekiston_d0_last,23:38:00,23:38:00,stop_alisher_navoiy,5
trip_ozbekiston_d0_last,23:40:00,23:40:00,stop_ozbekiston,6
trip_ozbekiston_d0_last,23:42:00,23:42:00,stop_kosmonavtlar,7
trip_ozbekiston_d0_last,23:44:00,23:44:00,stop_oybek,8
trip_ozbekiston_d0_last,23:46:00,23:46:00,stop_toshkent,9
trip_ozbekiston_d0_last,23:48:00,23:48:00,stop_mashinasozlar,10
trip_ozbekiston_d0_last,23:50:00,23:50:00,stop_do_stlik,11
trip_ozbekiston_d1_first,05:00:00,05:00:00,stop_do_stlik,1
trip_ozbekiston_d1_first,05:02:00,05:02:00,stop_mashinasozlar,2
trip_ozbekiston_d1_first,05:04:00,05:04:00,stop_toshkent,3
trip_ozbekiston_d1_first,05:06:00,05:06:00,stop_oybek,4
trip_ozbekiston_d1_first,05:08:00,05:08:00,stop_kosmonavtlar,5
trip_ozbekiston_d1_first,05:10:00,05:10:00,stop_ozbekiston,6
trip_ozbekiston_d1_first,05:12:00,05:12:00,stop_alisher_navoiy,7
trip_ozbekiston_d1_first,05:14:00,05:14:00,stop_g_afur_g_ulom,8
trip_ozbekiston_d1_first,05:16:00,05:16:00,stop_chorsu,9
trip_ozbekiston_d1_first,05:18:00,05:18:00,stop_tinchlik,10
trip_ozbekiston_d1_first,05:20:00,05:20:00,stop_beruniy,11
trip_ozbekiston_d1_mid,12:00:00,12:00:00,stop_do_stlik,1
trip_ozbekiston_d1_mid,12:02:00,12:02:00,stop_mashinasozlar,2
trip_ozbekiston_d1_mid,12:04:00,12:04:00,stop_toshkent,3
trip_ozbekiston_d1_mid,12:06:00,12:06:00,stop_oybek,4
trip_ozbekiston_d1_mid,12:08:00,12:08:00,stop_kosmonavtlar,5
trip_ozbekiston_d1_mid,12:10:00,12:10:00,stop_ozbekiston,6
trip_ozbekiston_d1_mid,12:12:00,12:12:00,stop_alisher_navoiy,7
trip_ozbekiston_d1_mid,12:14:00,12:14:00,stop_g_afur_g_ulom,8
trip_ozbekiston_d1_mid,12:16:00,12:16:00,stop_chorsu,9
trip_ozbekiston_d1_mid,12:18:00,12:18:00,stop_tinchlik,10
trip_ozbekiston_d1_mid,12:20:00,12:20:00,stop_beruniy,11
trip_ozbekiston_d1_last,23:30:00,23:30:00,stop_do_stlik,1
trip_ozbekiston_d1_last,23:32:00,23:32:00,stop_mashinasozlar,2
trip_ozbekiston_d1_last,23:34:00,23:34:00,stop_toshkent,3
trip_ozbekiston_d1_last,23:36:00,23:36:00,stop_oybek,4
trip_ozbekiston_d1_last,23:38:00,23:38:00,stop_kosmonavtlar,5
trip_ozbekiston_d1_last,23:40:00,23:40:00,stop_ozbekiston,6
trip_ozbekiston_d1_last,23:42:00,23:42:00,stop_alisher_navoiy,7
trip_ozbekiston_d1_last,23:44:00,23:44:00,stop_g_afur_g_ulom,8
trip_ozbekiston_d1_last,23:46:00,23:46:00,stop_chorsu,9
trip_ozbekiston_d1_last,23:48:00,23:48:00,stop_tinchlik,10
trip_ozbekiston_d1_last,23:50:00,23:50:00,stop_beruniy,11
trip_yunusobod_d0_first,05:00:00,05:00:00,stop_turkiston,1
trip_yunusobod_d0_first,05:02:00,05:02:00,stop_yunusobod,2
trip_yunusobod_d0_first,05:04:00,05:04:00,stop_shahriston,3
trip_yunusobod_d0_first,05:06:00,05:06:00,stop_bodomzor,4
trip_yunusobod_d0_first,05:08:00,05:08:00,stop_minor,5
trip_yunusobod_d0_first,05:10:00,05:10:00,stop_abdulla_qodiriy,6
trip_yunusobod_d0_first,05:12:00,05:12:00,stop_yunus_rajabiy,7
trip_yunusobod_d0_first,05:14:00,05:14:00,stop_mingorik,8
trip_yunusobod_d0_mid,12:00:00,12:00:00,stop_turkiston,1
trip_yunusobod_d0_mid,12:02:00,12:02:00,stop_yunusobod,2
trip_yunusobod_d0_mid,12:04:00,12:04:00,stop_shahriston,3
