trip_id,arrival_time,departure_time,stop_id,stop_sequence
R02_out,12:00:00,12:00:00,S_BACCO,1
R02_out,12:05:00,12:05:00,S_TRANGTIEN,2
R02_out,12:12:00,12:12:00,S_TRANGTHI,3
R02_out,12:18:00,12:18:00,S_CVA,4
R02_out,12:28:00,12:28:00,S_NGATUSO,5
R02_out,12:38:00,12:38:00,S_TRANPHU_HD,6
R02_out,12:46:00,12:46:00,S_BALA,7
R02_out,12:52:00,12:52:00,S_YENNGHIA,8
R02_in,13:00:00,13:00:00,S_YENNGHIA,1
R02_in,13:06:00,13:06:00,S_BALA,2
R02_in,13:14:00,13:14:00,S_TRANPHU_HD,3
R02_in,13:24:00,13:24:00,S_NGATUSO,4
R02_in,13:34:00,13:34:00,S_CVA,5
R02_in,13:40:00,13:40:00,S_TRANGTHI,6
R02_in,13:47:00,13:47:00,S_TRANGTIEN,7
R02_in,13:52:00,13:52:00,S_BACCO,8
R32_out,12:00:00,12:00:00,S_GIAPBAT,1
R32_out,12:07:00,12:07:00,S_GIAIPHONG,2
R32_out,12:16:00,12:16:00,S_TRANGTHI,3
R32_out,12:24:00,12:24:00,S_KIMMA,4
R32_out,12:32:00,12:32:00,S_CAUGIAY,5
R32_out,12:39:00,12:39:00,S_XUANTHUY,6
R32_out,12:48:00,12:48:00,S_DIEN,7
R32_out,12:55:00,12:55:00,S_NHON,8
R32_in,13:00:00,13:00:00,S_NHON,1
R32_in,13:07:00,13:07:00,S_DIEN,2
R32_in,13:16:00,13:16:00,S_XUANTHUY,3
R32_in,13:23:00,13:23:00,S_CAUGIAY,4
R32_in,13:31:00,13:31:00,S_KIMMA,5
R32_in,13:39:00,13:39:00,S_TRANGTHI,6
R32_in,13:48:00,13:48:00,S_GIAIPHONG,7
R32_in,13:55:00,13:55:00,S_GIAPBAT,8
R34_out,12:00:00,12:00:00,S_MYDINH,1
R34_out,12:08:00,12:08:00,S_PVD,2
R34_out,12:18:00,12:18:00,S_CAUGIAY,3
R34_out,12:35:00,12:35:00,S_LONGBIEN,4
R34_out,12:45:00,12:45:00,S_NGUYENVANCU,5
R34_out,12:52:00,12:52:00,S_GIALAM,6
R34_in,13:00:00,13:00:00,S_GIALAM,1
R34_in,13:07:00,13:07:00,S_NGUYENVANCU,2
R34_in,13:17:00,13:17:00,S_LONGBIEN,3
R34_in,13:34:00,13:34:00,S_CAUGIAY,4
R34_in,13:44:00,13:44:00,S_PVD,5
R34_in,13:52:00,13:52:00,S_MYDINH,6
R09B_out,12:00:00,12:00:00,S_MYDINH,1
R09B_out,12:05:00,12:05:00,S_PHAMHUNG,2
R09B_out,12:13:00,12:13:00,S_CAUGIAY,3
R09B_out,12:22:00,12:22:00,S_NCT,4
R09B_out,12:29:00,12:29:00,S_KIMMA,5
R09B_out,12:37:00,12:37:00,S_TRANGTHI,6
R09B_out,12:42:00,12:42:00,S_BOHO,7
R09B_in,13:00:00,13:00:00,S_BOHO,1
R09B_in,13:05:00,13:05:00,S_TRANGTHI,2
R09B_in,13:13:00,13:13:00,S_KIMMA,3
R09B_in,13:20:00,13:20:00,S_NCT,4
R09B_in,13:29:00,13:29:00,S_CAUGIAY,5
R09B_in,13:37:00,13:37:00,S_PHAMHUNG,6
R09B_in,13:42:00,13:42:00,S_MYDINH,7
