trip_id,arrival_time,departure_time,stop_id,stop_sequence
T_R109_0,05:00:00,05:00:00,S107675910669079,1
T_R109_0,05:02:00,05:02:00,S1076881066937,2
T_R109_0,05:04:00,05:04:00,S10769571066957,3
T_R109_0,05:06:00,05:06:00,S107709910670052,4
T_R109_0,05:08:00,05:08:00,S107735110670139,5
T_R109_0,05:10:00,05:10:00,S107750710670072,6
T_R109_0,05:12:00,05:12:00,S107770810669967,7
T_R109_0,05:14:00,05:14:00,S107782910669836,8
T_R109_0,05:16:00,05:16:00,S107798110669672,9
T_R109_0,05:18:00,05:18:00,S107816410669471,10
T_R109_0,05:20:00,05:20:00,S107834510669273,11
T_R109_0,05:22:00,05:22:00,S10784851066912,12
T_R109_0,05:24:00,05:24:00,S107855810668967,13
T_R109_0,05:26:00,05:26:00,S107858910668833,14
T_R109_0,05:28:00,05:28:00,S107869510668714,15
T_R109_0,05:30:00,05:30:00,S107892310668465,16
T_R109_0,05:32:00,05:32:00,S107906910668308,17
T_R109_0,05:34:00,05:34:00,S107935610667919,18
T_R109_1,05:00:00,05:00:00,S107708410670195,1
T_R109_1,05:02:00,05:02:00,S107708610670151,2
T_R109_1,05:04:00,05:04:00,S10787541066865,3
T_R109_1,05:06:00,05:06:00,S108112110665357,4
T_R109_1,05:08:00,05:08:00,S107676810668955,5
T_R109_1,05:10:00,05:10:00,S108008610666676,6
T_R109_1,05:12:00,05:12:00,S107996710666888,7
T_R109_1,05:14:00,05:14:00,S107986210667059,8
T_R109_1,05:16:00,05:16:00,S107968710667362,9
T_R109_1,05:18:00,05:18:00,S1079546106676,10
T_R109_1,05:20:00,05:20:00,S107935610667919,11
T_R109_1,05:22:00,05:22:00,S107906910668308,12
T_R109_1,05:24:00,05:24:00,S107892310668465,13
T_R109_1,05:26:00,05:26:00,S107869510668714,14
T_R109_1,05:28:00,05:28:00,S107858910668833,15
T_R109_1,05:30:00,05:30:00,S107855810668967,16
T_R109_1,05:32:00,05:32:00,S10784851066912,17
T_R109_1,05:34:00,05:34:00,S107834510669273,18
T_R01_0,05:00:00,05:00:00,S107799910670644,1
T_R01_0,05:02:00,05:02:00,S107798410670764,2
T_R01_0,05:04:00,05:04:00,S107776710670702,3
T_R01_0,05:06:00,05:06:00,S107733710670639,4
T_R01_0,05:08:00,05:08:00,S107708810670552,5
T_R01_0,05:10:00,05:10:00,S107709910670308,6
T_R01_0,05:12:00,05:12:00,S107710510670184,7
T_R01_0,05:14:00,05:14:00,S107687910669595,8
T_R01_0,05:16:00,05:16:00,S107674310669477,9
T_R01_0,05:18:00,05:18:00,S10765810669334,10
T_R01_0,05:20:00,05:20:00,S10763931066917,11
T_R01_0,05:22:00,05:22:00,S107622910669025,12
T_R01_0,05:24:00,05:24:00,S107594710668778,13
T_R01_0,05:26:00,05:26:00,S107574610668602,14
T_R01_0,05:28:00,05:28:00,S107558710668283,15
T_R01_0,05:30:00,05:30:00,S10755591066818,16
T_R01_0,05:32:00,05:32:00,S107552910668066,17
T_R01_0,05:34:00,05:34:00,S107546410667826,18
T_R01_1,05:00:00,05:00:00,S107513410665268,1
T_R01_1,05:02:00,05:02:00,S107511210665505,2
T_R01_1,05:04:00,05:04:00,S107509410665855,3
T_R01_1,05:06:00,05:06:00,S107512510665893,4
T_R01_1,05:08:00,05:08:00,S107520810666059,5
T_R01_1,05:10:00,05:10:00,S107522710666378,6
T_R01_1,05:12:00,05:12:00,S107524710666618,7
T_R01_1,05:14:00,05:14:00,S107530210666856,8
T_R01_1,05:16:00,05:16:00,S107529610667162,9
T_R01_1,05:18:00,05:18:00,S107535810667433,10
T_R01_1,05:20:00,05:20:00,S107540710667614,11
T_R01_1,05:22:00,05:22:00,S107546410667826,12
T_R01_1,05:24:00,05:24:00,S107552910668066,13
T_R01_1,05:26:00,05:26:00,S10755591066818,14
T_R01_1,05:28:00,05:28:00,S107558710668283,15
T_R01_1,05:30:00,05:30:00,S107574610668602,16
T_R01_1,05:32:00,05:32:00,S107594710668778,17
T_R01_1,05:34:00,05:34:00,S107622910669025,18
T_R03_0,04:00:00,04:00:00,S107676810668955,1
T_R03_0,04:02:00,04:02:00,S107675910669079,2
T_R03_0,04:04:00,04:04:00,S1076881066937,3
T_R03_0,04:06:00,04:06:00,S10769571066957,4
T_R03_0,04:08:00,04:08:00,S107709410670051,5
T_R03_0,04:10:00,04:10:00,S107708610670151,6
T_R03_0,04:12:00,04:12:00,S107708410670195,7
T_R03_0,04:14:00,04:14:00,S107707810670306,8
T_R03_0,04:16:00,04:16:00,S107707210670403,9
T_R03_0,04:18:00,04:18:00,S107740710670664,10
T_R03_0,04:20:00,04:20:00,S10776071067057,11
T_R03_0,04:22:00,04:22:00,S107780410670351,12
T_R03_0,04:24:00,04:24:00,S107798610670153,13
T_R03_0,04:26:00,04:26:00,S108061106670067,14
T_R03_0,04:28:00,04:28:00,S10784310669648,15
T_R03_0,04:30:00,04:30:00,S10787410669262,16
T_R03_0,04:32:00,04:32:00,S107892210669033,17
T_R03_0,04:34:00,04:34:00,S107904510668879,18
T_R03_1,04:00:00,04:00:00,S10893291066733,1
T_R03_1,04:02:00,04:02:00,S108976810668909,2
T_R03_1,04:04:00,04:04:00,S108949210668863,3
T_R03_1,04:06:00,04:06:00,S108921410668702,4
T_R03_1,04:08:00,04:08:00,S10888810668518,5
T_R03_1,04:10:00,04:10:00,S108863310668314,6
T_R03_1,04:12:00,04:12:00,S108845910668131,7
T_R03_1,04:14:00,04:14:00,S108808910667921,8
T_R03_1,04:16:00,04:16:00,S10878491066782,9
T_R03_1,04:18:00,04:18:00,S108753610667693,10
T_R03_1,04:20:00,04:20:00,S108713110667695,11
T_R03_1,04:22:00,04:22:00,S108683110667822,12
T_R03_1,04:24:00,04:24:00,S108652310668039,13
T_R03_1,04:26:00,04:26:00,S108573310667982,14
T_R03_1,04:28:00,04:28:00,S10852621066792,15
T_R03_1,04:30:00,04:30:00,S108491410667876,16
T_R03_1,04:32:00,04:32:00,S10846810667842,17
T_R03_1,04:34:00,04:34:00,S108421810667675,18
T_R04_0,05:00:00,05:00:00,S107676810668955,1
T_R04_0,05:02:00,05:02:00,S107675910669079,2
T_R04_0,05:04:00,05:04:00,S1076881066937,3
T_R04_0,05:06:00,05:06:00,S10769571066957,4
T_R04_0,05:08:00,05:08:00,S107709310670086,5
T_R04_0,05:10:00,05:10:00,S107708610670151,6
T_R04_0,05:12:00,05:12:00,S107708410670195,7
T_R04_0,05:14:00,05:14:00,S107735110670139,8
T_R04_0,05:16:00,05:16:00,S107750710670072,9
T_R04_0,05:18:00,05:18:00,S107770810669967,10
T_R04_0,05:20:00,05:20:00,S107782910669836,11
T_R04_0,05:22:00,05:22:00,S107798110669672,12
T_R04_0,05:24:00,05:24:00,S107816410669471,13
T_R04_0,05:26:00,05:26:00,S107834510669273,14
T_R04_0,05:28:00,05:28:00,S10784851066912,15
T_R04_0,05:30:00,05:30:00,S107855810668967,16
T_R04_0,05:32:00,05:32:00,S107858910668833,17
T_R04_0,05:34:00,05:34:00,S107869510668714,18
T_R04_1,05:00:00,05:00:00,S108435210661322,1
T_R04_1,05:02:00,05:02:00,S108452510661335,2
T_R04_1,05:04:00,05:04:00,S108460710661339,3
T_R04_1,05:06:00,05:06:00,S10838211066184,4
T_R04_1,05:08:00,05:08:00,S108346210662073,5
T_R04_1,05:10:00,05:10:00,S108286110662459,6
T_R04_1,05:12:00,05:12:00,S108268710662591,7
T_R04_1,05:14:00,05:14:00,S108223710663032,8
T_R04_1,05:16:00,05:16:00,S108183710663156,9
T_R04_1,05:18:00,05:18:00,S108121410663362,10
T_R04_1,05:20:00,05:20:00,S108082110663469,11
T_R04_1,05:22:00,05:22:00,S10806181066363,12
T_R04_1,05:24:00,05:24:00,S108025410664096,13
T_R04_1,05:26:00,05:26:00,S108022510664441,14
T_R04_1,05:28:00,05:28:00,S108020710664698,15
T_R04_1,05:30:00,05:30:00,S108017310665114,16
