stop_id,stop_name,stop_lat,stop_lon
S107675910669079,Tôn Thất Tùng,10.7675939,106.6907938
S1076881066937,Nguyễn Thị Nghĩa,10.768802,106.693696
S10769571066957,Trường Ernst Thälmann,10.7695735,106.6956974
S107709910670052,Trạm trung chuyển Hàm Nghi,10.7709943,106.7005183
S107735110670139,Đền thờ Ấn Giáo,10.773505,106.7013922
S107750710670072,Lê Thánh Tôn,10.7750733,106.7007175
S107770810669967,Lý Tự Trọng,10.777076,106.699669
S107782910669836,Lê Duẩn,10.7782907,106.6983598
S107798110669672,Nguyễn Thị Minh Khai,10.7798086,106.6967169
S107816410669471,Đại học Kiến trúc,10.7816448,106.6947138
S107834510669273,Điện Biên Phủ,10.7834477,106.6927287
S10784851066912,Võ Thị Sáu,10.784854,106.691202
S107855810668967,Nhà Thiếu nhi Thành phố,10.7855814,106.6896706
S107858910668833,Viện Pasteur,10.7858932,106.688326
S107869510668714,Trần Quốc Toản,10.7869475,106.6871356
S107892310668465,Lý Chính Thắng,10.7892295,106.6846521
S107906910668308,Chùa Vĩnh Nghiêm,10.7906868,106.6830812
S107935610667919,Ngã tư Trần Huy Liệu,10.793561,106.6791929
S1079546106676,Trung tâm Văn hóa Quận Phú Nhuận,10.7954552,106.6759988
S107968710667362,Cổng Xe lửa,10.79687,106.6736192
S107986210667059,Bệnh viện Quận Phú Nhuận,10.7986222,106.6705919
S107996710666888,Cây xăng Quân khu 7,10.7996655,106.6688819
S108008610666676,Sân vận động Quân khu 7,10.8008567,106.6667596
S107676810668955,Bến xe buýt Sài Gòn,10.7676825,106.6895544
S108112110665357,Nhà ga T3 Sân bay Tân Sơn Nhất,10.8112056,106.6535671
S10787541066865,Sacombank Head Office,10.7875383,106.6865035
S107708610670151,Nam Kỳ Khởi Nghĩa,10.7708611,106.7015057
S107708410670195,Chợ Cũ,10.7708361,106.7019523
S107799910670644,Điểm đầu cuối Nguyễn Siêu,10.7799853,106.706441
S107798410670764,Ngô Văn Năm,10.7798383,106.707644
S107776710670702,Bảo tàng Tôn Đức Thắng,10.7776675,106.7070246
S107733710670639,Bến Bạch Đằng,10.7733704,106.7063876
S107708810670552,Cục Hải quan Thành phố,10.7708759,106.7055179
S107709910670308,Chợ Cũ,10.7709914,106.7030831
S107710510670184,Trường Cao đẳng Kỹ thuật Cao Thắng,10.7710549,106.7018406
S107687910669595,Trường Ernst Thälmann,10.7687864,106.6959537
S107674310669477,Ký túc xá Trần Hưng Đạo,10.7674317,106.6947718
S10765810669334,Rạp phim Trần Hưng Đạo,10.7658046,106.6933395
S10763931066917,Bệnh viện Răng Hàm Mặt,10.7639299,106.6917049
S107622910669025,Trần Đình Xu,10.762287,106.6902514
S107594710668778,Tổng Công ty Samco,10.7594652,106.6877808
S107574610668602,Chợ Nancy,10.7574579,106.6860184
S107558710668283,Nguyễn Biểu,10.7558691,106.6828285
S10755591066818,Trường Cao đẳng Kinh Tế Đối ngoại,10.7555901,106.6818025
S107552910668066,Đường Trần Bình Trọng,10.7552899,106.680661
S107546410667826,Bệnh viện Chấn thương Chỉnh hình,10.754642,106.6782626
S107540710667614,Rạp Đồng Tháp,10.7540721,106.6761356
S107535810667433,Rạp Đống Đa,10.7535845,106.6743347
S107529610667162,Đồng Khánh,10.7529592,106.6716225
S107530210666856,Nhà Văn hóa Quận 5,10.7530168,106.6685648
S107524710666618,Ngô Quyền,10.7524656,106.6661778
S107522710666378,Đường Tản Đà,10.7522729,106.6637774
S107520810666059,Triệu Quang Phục,10.7520759,106.6605949
S107512510665893,Bưu điện Quận 5,10.7512547,106.6589339
S107509410665855,Hải Thượng Lãn Ông,10.7509397,106.658553
S107511210665505,Chợ Kim Biên,10.7511239,106.6550492
S107513410665268,Bến xe buýt Chợ Lớn,10.7513403,106.6526763
S107709410670051,Trạm trung chuyển Hàm Nghi,10.7709376,106.700515
S107707810670306,Giao lộ Hàm Nghi - Tôn Thất Đạm,10.7707776,106.7030582
S107707210670403,Hồ Tùng Mậu,10.7707209,106.7040322
S107740710670664,Bến Bạch Đằng,10.774068,106.7066444
S10776071067057,Công trường Mê Linh,10.7760722,106.7056997
S107780410670351,Nhà hát Thành phố,10.7780395,106.7035068
S107798610670153,Bệnh viện Nhi đồng 2,10.7798555,106.701527
